Down,Distance,Yardline,Optimal Choice
1,1,1,0
1,1,33,1
1,1,45,0
1,1,50,0
1,2,2,0
1,2,14,1
1,3,3,0
1,3,35,0
1,4,4,0
1,4,5,0
1,4,22,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,1
1,5,9,1
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,1
1,5,23,1
1,5,24,1
1,5,25,0
1,5,26,0
1,5,27,0
1,5,28,1
1,5,29,1
1,5,30,0
1,5,31,1
1,5,32,0
1,5,33,0
1,5,34,1
1,5,35,1
1,5,36,0
1,5,37,0
1,5,38,1
1,5,39,0
1,5,40,0
1,5,41,1
1,5,42,1
1,5,43,1
1,5,44,1
1,5,45,1
1,5,46,0
1,5,47,1
1,5,48,0
1,5,49,1
1,5,50,1
1,5,51,1
1,5,52,1
1,5,53,1
1,5,54,0
1,5,55,1
1,5,56,1
1,5,57,0
1,5,58,0
1,5,59,0
1,5,60,1
1,5,61,1
1,5,62,0
1,5,63,0
1,5,64,0
1,5,65,0
1,5,66,0
1,5,67,0
1,5,68,0
1,5,69,0
1,5,70,1
1,5,71,1
1,5,72,1
1,5,73,1
1,5,74,0
1,5,75,0
1,5,77,0
1,5,78,0
1,5,79,0
1,5,80,0
1,5,81,0
1,5,82,1
1,5,83,1
1,5,84,0
1,5,85,1
1,5,86,0
1,5,87,0
1,5,88,0
1,5,89,1
1,5,90,0
1,5,91,0
1,5,93,0
1,5,94,0
1,6,6,0
1,6,17,2
1,6,55,0
1,7,7,0
1,7,15,0
1,7,72,1
1,8,8,0
1,8,15,1
1,8,19,1
1,8,39,1
1,8,51,0
1,8,56,0
1,8,63,1
1,8,68,1
1,8,70,0
1,8,90,0
1,9,9,0
1,9,16,0
1,9,31,1
1,9,44,0
1,9,55,1
1,9,96,1
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,10,17,0
1,10,18,0
1,10,19,0
1,10,20,0
1,10,21,0
1,10,22,0
1,10,23,0
1,10,24,0
1,10,25,0
1,10,26,0
1,10,27,0
1,10,28,0
1,10,29,0
